penalty,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time,n1,WithFeature,featureInfo,WithInfo,Withflip,total clusters,clusterInfo,All,AllDjob,AllDDjob,AllwithFlip,AllwithClass m1,flipwithcluster,WithfeatureInfo,m1flip,WithfeatureInfoMflip,WithfeatureInfoDjob,x2,m1flipDjob,final
l2,259,960,2,860,639,10,2,11,0.03611281496,711654300,1.003841877,222740,142330860,7029,2450140,8043.768404,20,220,31312789200,15656394600,7828197300,565396481.1,15656394600,0.7222562992,1565639460,565396481.1,56539648.11,782819730,391409865,282698240.6,7828197300
elasticnet,618,460,4,628,195,3,5,9,0.07758393457,56760210,0.8033866882,388104,75680280,1755,3492936,30110.63534,15,135,10216837800,2554209450,638552362.5,198165618.8,2043367560,1.163759019,681122520,158532495.1,52844165.03,170280630,42570157.5,39633123.77,510841890
l2,668,503,8,500,1370,9,4,8,0.08575708244,514777500,1.2073915,334000,457580000,10960,2672000,28642.86553,36,288,131783040000,16472880000,2059110000,1412666128,32945760000,3.087254968,3660640000,2825332256,313925806.3,457580000,57197500,353166532,4118220000
l2,386,66,2,907,1090,5,3,9,0.08769851148,954027950,1.507311583,350102,381211180,9810,3150918,30703.42427,15,135,51517509300,25758754650,12879377325,2259004440,17172503100,1.315477672,3434500620,1506002960,301200592.1,1717250310,858625155,753001480.1,8586251550
none,103,288,2,111,573,3,3,8,0.005868679447,9826663.5,0.1017343998,11433,6551109,4584,91412,67.09661212,9,72,471679848,235839924,117919962,1384068.915,157226616,0.05281811502,52408872,922712.6098,307570.8699,26204436,13102218,461356.3049,78613308
none,691,947,1,484,1276,3,5,7,0.087911403,1280251632,1.512079523,334444,426750544,8932,2341108,29401.44126,15,105,44808807120,44808807120,44808807120,3939205101,8961761424,1.318671045,2987253808,787841020.1,262613673.4,2987253808,2987253808,787841020.1,8961761424
elasticnet,719,259,2,103,209,9,3,9,0.05438506552,69650608.5,0.603312254,74057,15477913,1881,666513,4027.594797,27,243,3761132859,1880566430,940283214.8,102274728.5,1253710953,1.468396769,139301217,68183152.32,7575905.814,69650608.5,34825304.25,34091576.16,626855476.5
elasticnet,265,895,4,126,1001,3,5,7,0.02535837914,25067542.5,1.405600786,171190,171361190,7007,1198330,4341.100925,15,105,17992924950,4498231238,1124557809,114067853.2,3598584990,0.3803756871,1199528330,91254282.54,30418094.18,299882082.5,74970520.63,22813570.64,899646247.5
elasticnet,365,736,2,1251,877,4,4,11,0.04363904319,800902710,6.013842106,456615,400451355,9127,5022765,19926.24171,12,176,50010301260,25005150630,12502575315,1091200848,16670100420,0.5236685183,4167525105,727467232.2,181866808.1,2083762553,1041881276,363733616.1,8335050210
none,213,101,4,222,128,6,4,8,0.0008417235154,9078912,0.1041536331,47286,6052608,1024,378288,39.80173815,24,192,1162100736,290525184,72631296,244541.8792,290525184,0.02020136437,48420864,244541.8792,40756.97986,12105216,3026304,61135.4698,72631296
elasticnet,280,443,8,336,126,3,5,6,0.06127123809,4445280,0.5041308403,94080,60775680,3876,512480,5764.39808,15,90,5469811200,683726400,85465800,41892763.04,1093962240,0.9190685714,364654080,67028420.87,22342806.96,45581760,5697720,8378552.609,136745280
none,213,445,2,859,562,8,2,9,0.03103868562,411309816,0.6031734943,182967,102827454,5058,1126703,5679.055192,12,144,11105365032,5552682516,2776341258,172347967,7403576688,0.3724642274,925447086,229797289.3,28724661.16,462723543,231361771.5,114898644.6,3701788344
none,306,446,12,704,611,10,5,8,0.02560712226,109686720,0.3086137772,215424,131224012,4888,1723392,5516.388706,50,400,52649625600,4387468800,365622400,112350450,10529925120,1.280356113,1052992512,269641079.9,26964107.99,87749376,7312448,22470089.99,877493760
l1,695,254,2,893,405,3,2,6,0.08439677229,377035762.5,3.107063532,620635,251357175,2430,3723810,52379.59077,6,36,9048858300,4524429150,2262214575,381847216.7,4524429150,0.5063806337,1508143050,381847216.7,127282405.6,754071525,377035762.5,190923608.4,2262214575
none,871,499,1,173,468,6,3,9,0.047897248,423117864,0.5425331593,150683,70519124,4212,1356147,7217.30102,18,122,11424182328,11424182328,11424182328,547186894.2,3808060776,0.862150464,634676796,182395631.4,30399271.9,634676796,634676796,182395631.4,3808060776
elasticnet,973,987,2,426,245,7,3,9,0.04222733999,355432035,3.107123852,414498,101552010,2205,3730482,17503.14797,21,189,19193329890,9596664945,4798332473,405241633.4,6397776630,0.8867741398,913968090,270161088.9,38594441.28,456984045,228492022.5,135080544.5,3198888315
l2,763,834,4,584,130,6,4,11,0.08896351278,86890440,0.3026628494,445592,57926960,1430,4901512,39641.42959,24,212,15292717440,3823179360,955794840,340123465.9,3823179360,2.135124307,637196560,340123465.9,56687244.31,159299140,39824785,85030866.46,955794840
none,130,854,12,1244,960,10,2,9,0.04282811077,129376000,0.3074529171,121720,155251200,8120,1455480,5213.037643,20,180,19767328000,1647277333,137273111.1,70549776.1,9883664000,0.8565622154,988366400,423298656.6,42329865.66,82363866.67,6863655.556,35274888.05,823638666.7
none,846,531,2,409,1243,9,5,11,0.02819090799,1935429309,2.701252608,346014,430095402,13673,3806154,9754.448837,45,495,212897223990,106448611995,53224305998,3000883026,42579444798,1.26859086,4731049422,1200353211,133372579,2365524711,1182762356,600176605.3,21289722399
l2,362,610,12,1052,973,9,2,10,0.02805089128,277906314,0.7103745937,380824,370541752,9730,3808240,10682.45262,18,180,66697515360,5558126280,463177190,155910396,33348757680,0.504916043,3705417520,935462376,103940264,308784793.3,25732066.11,77955198,2779063140
l2,121,978,2,621,1037,6,5,7,0.09814697547,233763651,0.4031496048,99981,103680297,7259,699867,9812.832754,30,210,21772862370,10886431185,5443215593,1068470294,4354572474,2.944409264,725762079,427388117.8,71231352.96,362881039.5,181440519.8,213694058.9,2177286237
l2,944,678,4,151,835,3,4,9,0.02144846844,89268180,0.2023482323,142544,119024240,7515,1282896,3057.350485,12,108,12854617920,3213654480,803413620,68927966.69,3213654480,0.2573816213,1071218160,68927966.69,22975988.9,267804540,66951135,17231991.67,803413620
l1,420,390,4,1058,607,8,3,7,0.09658465355,539453040,3.708951235,444360,269726520,4249,3110520,42918.35665,24,128,45314055360,11328513840,2832128460,1094160584,15104685120,2.318031685,1888085640,1458880779,182360097.4,472021410,118005352.5,364720194.8,3776171280
none,794,684,2,826,327,3,5,10,0.01256072318,321691482,0.8034977913,655844,214460988,3270,6558440,8237.874933,15,150,32169148200,16084574100,8042287050,202033882.7,6433829640,0.1884108477,2144609880,80813553.1,26937851.03,1072304940,536152470,40406776.55,3216914820
elasticnet,639,205,2,418,768,4,4,8,0.02819696314,410268672,2.901209979,267102,205134336,6144,2136812,7531.465249,12,128,19692896256,9846448128,4923224064,277639934.9,6564298752,0.3383635577,1641074688,185093290,46273322.49,820537344,410268672,92546644.98,3282149376
none,735,524,2,1071,889,9,4,10,0.007839659802,3149133593,5.011070013,787185,699807465,8890,7871850,6171.262601,36,360,251930687400,125965343700,62982671850,987525441.5,62982671850,0.2822277529,6998074650,493762720.7,54862524.53,3499037325,1749518663,246881360.4,31491335925
none,265,571,8,602,530,3,4,7,0.01106788112,31706587.5,0.204308033,159530,84550900,3710,1112710,1765.659075,12,84,7102275600,887784450,110973056.3,9825892.753,1775568900,0.1328145734,591856300,19651785.51,6550595.169,73982037.5,9247754.688,2456473.188,221946112.5
l1,944,502,2,1396,493,10,2,11,0.09174469185,3248436160,22.13512038,1317824,129687232,5423,14496012,120903.3568,20,220,142931191040,71465595520,35732797760,6556589039,71465595520,1.834893837,7146559552,6556589039,655658903.9,3573279776,1786639888,3278294519,35732797760
none,123,525,2,267,509,7,5,9,0.09063417498,58506241.5,0.1030123234,32841,12712069,4581,295569,2976.516941,35,315,5265561735,2632780868,1316390434,238619921.8,1053112347,3.172196124,150444621,95447968.73,13635424.1,75222310.5,37611155.25,47723984.37,526556173.5
l1,452,293,12,1194,1028,8,2,8,0.0667047898,369866176,3.611293225,539688,554799212,8224,4317504,35999.7746,12,128,53260729344,4438394112,369866176,296062146.3,35507152896,0.8004574776,4438394112,2368497170,296062146.3,369866176,30822181.33,197374764.2,2958929408
elasticnet,833,375,4,219,1309,5,4,9,0.02428717821,298496178.8,3.208013535,182427,238796943,11781,1121843,4430.637059,20,180,42983449740,10745862435,2686465609,260986676,10745862435,0.4857435642,2149172487,260986676,52197335.2,537293121.8,134323280.4,65246668.99,2686465609
l2,976,842,8,1217,113,7,4,11,0.07200079965,117442934,0.5041821003,1187792,134220496,1243,13065712,85521.97382,28,308,41339912768,5167489096,645936137,372063347.1,10334978192,2.01602239,1476425456,744126694.2,106303813.5,184553182,23069147.75,93015836.77,1291872274
none,913,713,12,329,806,3,3,7,0.01229757014,60525965.5,0.4080145359,300377,242103862,5122,2102639,3693.907226,9,63,13846778946,1153898246,96158187.13,14190144.61,4615592982,0.1106781313,1538530994,56760578.43,18920192.81,128210916.2,10684243.01,4730048.203,384632748.5
l2,255,212,4,1012,627,7,4,8,0.04255602498,283156335,0.5038797855,271320,170117120,5012,2170560,11546.3007,28,224,38075963520,9518990880,2379747720,405090413.7,9518990880,1.191568699,1359855840,405090413.7,57870059.1,339963960,84990990,101272603.4,2379747720
l2,420,434,2,1366,944,5,5,9,0.05688755102,1353979200,2.107222319,573720,541591280,8496,5123480,32637.52577,25,225,121858128000,60929064000,30464532000,3466105237,24371625600,1.422188776,4874325120,1386442095,277288419,2437162560,1218581280,693221047.4,12185812800
elasticnet,480,139,2,1047,523,6,3,7,0.04100892484,788516640,6.31253767,502560,262838880,3661,3517920,20609.44527,18,126,33117698880,16558849440,8279424720,679060612.1,11039232960,0.7381606471,1839872160,452707074.7,75451179.12,919936080,459968040,226353537.4,5519616480
elasticnet,335,233,2,952,1379,7,5,12,0.06935144384,1539267380,12.42343612,318920,439790680,12548,3827040,22117.56247,35,420,140063285600,70031642800,35015821400,4856795543,28012657120,2.427300534,4001808160,1942718217,277531173.9,2000904080,1000452040,971359108.5,14006328560
elasticnet,757,717,1,910,1059,5,2,10,0.02857463363,3647566650,25.18621421,688870,729513330,10590,6888700,19684.20787,10,100,72951333000,72951333000,72951333000,2084557613,36475666500,0.2857463363,7295133300,1042278807,208455761.3,7295133300,7295133300,1042278807,36475666500
none,513,658,12,107,154,10,2,7,0.08139442325,7044345,0.1069338322,54891,8453214,1078,384237,4467.821287,20,140,1183449960,98620830,8218402.5,8027185.578,591724980,1.627888465,59172498,48163113.47,4816311.347,4931041.5,410920.125,4013592.789,49310415
l1,769,601,8,1152,233,8,2,11,0.02286127708,206411904,2.307451248,885888,201211904,2563,9744768,20252.53103,12,176,27246371328,3405796416,425724552,77860855.54,18164247552,0.274335325,2270530944,415257896.2,51907237.03,283816368,35477046,51907237.03,2270530944
elasticnet,686,191,4,486,369,5,5,9,0.0690920094,153778905,1.805185318,333396,123023124,3321,3000512,23034.99957,25,225,27680202900,6920050725,1730012681,478120209.7,5536040580,1.727300235,1107208116,382496167.8,76499233.56,276802029,69200507.25,95624041.95,1384010145
l1,172,485,1,1284,826,6,3,7,0.06688177249,1094522688,6.076055527,220848,182420448,5782,1545936,14770.70569,18,126,22984976448,22984976448,22984976448,1537275965,7661658816,1.203871905,1276943136,512425321.8,85404220.3,1276943136,1276943136,512425321.8,7661658816
elasticnet,397,670,2,497,770,2,5,10,0.07296265398,151927930,1.04891777,197309,151927930,7700,1973090,14396.18829,10,100,15192793000,7596396500,3798198250,554253249.3,3038558600,0.7296265398,1519279300,221701299.7,110850649.9,759639650,379819825,110850649.9,1519279300
elasticnet,199,527,8,637,415,3,4,9,0.005147936701,19727491.88,0.5050563812,126763,52606125,3735,1140867,652.5679,12,108,5681517660,710189707.5,88773713.44,3656011.66,1420379415,0.06177524041,473459805,7312023.32,2437341.107,59182475.63,7397809.453,914002.915,177547426.9
l1,735,212,1,1313,686,3,4,9,0.003371858051,1986083190,10.91238327,965055,662027730,6174,8685495,3254.028471,12,108,71498994840,71498994840,71498994840,241084461.4,17874748710,0.04046229661,5958249570,60271115.35,20090371.78,5958249570,5958249570,60271115.35,17874748710
elasticnet,939,533,12,280,585,7,4,10,0.03078456318,89721450,1.307812904,262920,153808200,5850,2629200,8093.877351,28,280,43066296000,3588858000,299071500,110481425.8,10766574000,0.861967769,1538082000,331444277.5,47349182.51,128173500,10681125,27620356.46,897214500
l2,526,675,12,476,481,8,4,12,0.09317310722,80287237.33,0.2075018883,250376,120430856,5772,3004512,23328.30989,32,384,46245448704,3853787392,321148949.3,359069345.9,11561362176,2.981539431,1445170272,1077208038,134651004.7,120430856,10035904.67,89767336.47,963446848
none,727,543,4,1290,1048,7,3,7,0.01408312839,1719980220,2.608286381,937830,982845840,7336,6512810,13207.5803,21,147,144478338480,36119584620,9029896155,508676747.6,48159446160,0.2957456962,6879920880,678235663.5,96890809.07,1719980220,429995055,169558915.9,12039861540
none,686,6,8,1039,431,4,4,10,0.02025869713,153598487,0.6050031185,712754,307196974,4310,7127540,14439.46741,12,120,36863636880,4607954610,575994326.3,93351156.83,12287878960,0.2431043656,3071969740,248936418.2,62234104.56,383996217.5,47999527.19,31117052.28,1535984870
none,758,454,8,1234,1252,4,3,10,0.01930982998,585542872,1.608695269,935372,1171085744,12520,9353720,18061.87429,12,120,140530289280,17566286160,2195785770,339201999.1,46843429760,0.2317179598,11710857440,904538664.3,226134666.1,1463857180,182982147.5,113067333,5855428720
none,600,778,1,763,1394,2,4,10,0.01042212112,1276346400,0.7831128175,457800,638173200,13940,4578000,4771.247049,8,80,51053856000,51053856000,51053856000,532089470.9,12763464000,0.08337696896,6381732000,133022367.7,66511183.86,6381732000,6381732000,133022367.7,12763464000
l1,315,812,2,1157,459,4,3,9,0.09450055217,334569690,2.506043673,312455,127284845,4131,3280095,29527.17003,12,108,15489019260,7744509630,3872254815,731860436.3,5163006420,1.134006626,1290751605,487906957.5,121976739.4,645375802.5,322687901.3,243953478.8,2581503210
l1,839,788,2,239,211,9,2,7,0.08420323919,190394689.5,1.504099846,200521,42309931,1477,1403127,16884.51773,18,126,5331051306,2665525653,1332762827,224445894.1,2665525653,1.515658305,296169517,224445894.1,24938432.68,148084758.5,74042379.25,112222947.1,1332762827
none,560,206,1,1351,122,9,5,11,0.004227882502,830702880,1.992304325,756560,122562720,1782,8322120,3198.646786,45,495,60668546400,60668546400,60668546400,256499485.7,12133709280,0.1902547126,1348189920,51299897.15,5699988.572,1348189920,1348189920,51299897.15,12133709280
l1,275,78,8,592,312,5,3,9,0.008014936131,31746000,0.4038617611,122800,51444800,2844,1465200,984.2341569,15,135,5238648000,654831000,81853875,5248428.642,1746216000,0.120224042,349243200,13995809.71,2799161.942,43655400,5456925,1749476.214,218277000
none,401,801,1,663,1295,8,2,11,0.01412718994,2754340680,3.355512619,265863,344292585,14245,2924493,3755.897099,12,176,45446621220,45446621220,45446621220,642033050.1,30297747480,0.1695262793,3787218435,428022033.4,53502754.18,3787218435,3787218435,428022033.4,30297747480
l2,924,439,4,388,707,3,5,10,0.08897883598,190100988,0.4037935734,358512,253467984,7070,3585120,31899.98044,15,150,38020197600,9505049400,2376262350,845748231.5,7604039520,1.33468254,2534679840,676598585.2,225532861.7,633669960,158417490,169149646.3,1901009880
l2,370,137,8,517,1263,8,4,11,0.08232039901,241599270,0.4047586918,191290,241599270,13893,2104190,15747.06913,32,352,85042943040,10630367880,1328795985,875096125.5,21260735760,2.634252768,2657591970,1750192251,218774031.4,332198996.3,41524874.53,218774031.4,2657591970
l2,373,763,4,1273,339,2,5,8,0.03147428793,80483515.5,0.2962100506,474829,120967031,2712,3798632,14944.90466,10,80,12877362480,3219340620,804835155,101326453.6,2575472496,0.3147428793,1287736248,81061162.89,40530581.45,321934062,80483515.5,20265290.72,643868124
none,712,493,8,612,1073,3,2,6,0.06992020453,175332492,0.7050335407,507296,544328608,1238,3043776,35470.24008,6,36,3768194688,471024336,58878042,32934117.91,1884097344,0.4195212272,628032448,131736471.6,43912157.22,78504056,9813007,16467058.96,235512168
l2,274,744,2,733,262,4,3,8,0.09125148455,105241208,0.302229126,200842,52620604,2096,1206736,18327.13066,12,96,5051577984,2525788992,1262894496,230481995.2,1683859328,1.095017815,420964832,153654663.5,38413665.86,210482416,105241208,76827331.73,841929664
l1,270,324,1,1296,1212,5,2,10,0.07304949065,2120515200,12.60606813,349920,442298880,12120,3499200,25561.47777,10,100,42410304000,42410304000,42410304000,3098051106,21205152000,0.7304949065,4241030400,1549025553,309805110.6,4241030400,4241030400,1549025553,21205152000
l2,212,528,1,545,1099,5,3,7,0.02701506911,634892300,0.7832143307,115540,126978460,7693,808780,3121.321085,15,105,13332738300,13332738300,13332738300,360184846.6,4444246100,0.4052260367,888849220,120061615.5,24012323.11,888849220,888849220,120061615.5,4444246100
l2,251,194,8,555,1121,4,4,7,0.02335571417,78080452.5,0.3048725128,139305,156120905,7847,975135,3253.567762,12,112,13117516020,1639689503,204961187.8,38296119.35,4372505340,0.28026857,1093126335,102122984.9,25530746.23,136640791.9,17080098.98,12765373.12,546563167.5
l1,460,2,12,1126,1155,5,3,9,0.04794221509,249268250,3.617695093,517960,598243800,10395,4661120,24832.14973,15,135,80762913000,6730242750,560853562.5,322662745.5,26920971000,0.7191332264,5384194200,1290650982,258130196.4,448682850,37390237.5,107554248.5,2243414250
elasticnet,737,958,2,1050,809,8,4,10,0.08337612794,2504178600,18.02988076,773850,626044650,8090,7738500,64520.61661,32,320,200334288000,100167144000,50083572000,8351548614,50083572000,2.668036094,6260446500,4175774307,521971788.3,3130223250,1565111625,2087887153,25041786000
none,797,126,1,819,543,4,2,8,0.02981575184,1417757796,1.807029486,652743,354439449,4344,5221944,19462.0233,8,12,22684124736,22684124736,22684124736,676344233.8,11342062368,0.2385260147,2835515592,338172116.9,84543029.23,2835515592,2835515592,338172116.9,11342062368
l1,423,651,1,869,311,4,2,6,0.03907671087,457278228,2.675535679,367587,114319557,1866,2205522,14364.09092,8,48,5487338736,5487338736,5487338736,214427149.2,2743669368,0.312613687,685917342,107213574.6,26803393.65,685917342,685917342,107213574.6,2743669368
l2,689,724,1,469,980,3,2,8,0.02263022393,950034540,1.129397112,323141,312678180,7840,2585128,7312.753191,6,48,15200552640,15200552640,15200552640,343991910.1,7600276320,0.1357813436,2533425440,171995955.1,57331985.02,2533425440,2533425440,171995955.1,7600276320
l2,817,636,12,977,281,5,3,9,0.05018180205,93456970.42,0.5089981556,798209,224296729,2529,7183881,40055.56603,15,135,30280058415,2523338201,210278183.4,126625658.1,10093352805,0.7527270308,2018670561,506502632.5,101300526.5,168222546.8,14018545.56,42208552.71,841112733.8
elasticnet,803,484,4,727,695,9,3,10,0.02791360039,912887538.8,8.812298008,583781,405727795,6950,5837810,16295.42955,27,270,109546504650,27386626163,6846656541,764459338.7,36515501550,0.7536672105,4057277950,1019279118,113253235.4,1014319488,253579871.9,254819779.6,9128875388
elasticnet,765,588,2,712,1326,2,5,7,0.02515933612,722245680,4.876769543,547740,726303240,9282,3834180,13780.77477,10,70,50841226800,25420613400,12710306700,639565756.9,10168245360,0.2515933612,5084122680,255826302.8,127913151.4,2542061340,1271030670,127913151.4,5084122680
elasticnet,247,245,4,229,947,9,4,9,0.05751333247,120521612.3,1.204249382,56563,53565121,8523,509067,3253.126625,36,324,17355112164,4338778041,1084694510,249537584,4338778041,2.070479969,482086449,249537584,27726398.22,120521612.3,30130403.06,62384396,1084694510
l1,870,996,1,679,291,10,5,9,0.05332177782,1719024300,10.1505723,590730,171902430,2619,5312570,31498.77381,50,450,77356093500,77356093500,77356093500,4124764431,15471218700,2.666088891,1547121870,824952886.1,82495288.61,1547121870,1547121870,824952886.1,15471218700
none,303,991,2,312,604,3,3,10,0.04378710609,85649616,0.2027390003,95748,57831792,6040,957480,4192.527834,9,90,5204861280,2602430640,1301215320,113952906.5,1734953760,0.3940839548,578317920,75968604.35,25322868.12,289158960,144579480,37984302.18,867476880
elasticnet,723,528,12,622,655,2,5,10,0.01071819801,49092905,2.045994282,449706,294557430,6550,4497060,4820.037954,10,100,29455743000,2454645250,204553770.8,26309373.83,5891148600,0.1071819801,2945574300,63142497.2,31571248.6,245464525,20455377.08,5261874.767,490929050
none,443,747,12,366,1020,3,3,7,0.01283786209,41345190,0.3084378242,122138,125380760,7140,1134966,1567.9908,9,63,7848587880,654048990,54504082.5,8396590.734,2616195960,0.1155407588,872065320,33586362.93,11195454.31,72672110,6056009.167,2798863.578,218016330
elasticnet,749,842,4,1336,696,2,2,7,0.06903141453,348231072,3.989420652,1000612,691262144,4872,7004128,69073.66176,4,28,19499926656,4874981664,1218745416,336526880.1,9749963328,0.2761256581,4874981664,673053760.1,336526880.1,1218745416,304686354,168263440,2437490832
elasticnet,812,481,2,178,187,10,2,11,0.06059612708,135141160,1.104005098,145248,27121376,2057,1597728,8801.466266,20,220,5975502720,2987751360,1493875680,181046161.1,2987751360,1.211922542,298775136,181046161.1,18104616.11,149387568,74693784,90523080.55,1493875680
none,519,737,12,956,586,9,4,11,0.06194852529,218064078,0.6093137212,496112,290752104,1246,5457804,30733.40678,36,396,22253599872,1854466656,154538888,114881474.5,5563399968,2.23014691,618155552,344644423.6,38293824.85,51512962.67,4292746.889,28720368.63,463616664
none,696,75,8,1261,877,3,3,9,0.08173094708,288639117,1.106198549,877656,769704312,7893,7898904,71731.65609,9,81,62346049272,7793256159,974157019.9,636950206.7,20782016424,0.7355785237,6927338808,1698533885,566177961.5,865917351,108239668.9,212316735.6,2597752053
l1,453,553,4,599,732,4,3,9,0.06083508609,198626004,1.304980755,271347,198626004,6588,2442123,16507.41811,12,108,21451608432,5362902108,1340725527,326252611.4,7150536144,0.7300210331,1787634036,435003481.9,108750870.5,446908509,111727127.3,108750870.5,1787634036
l2,277,622,8,1118,478,5,5,9,0.005698099408,92518692.5,0.3040142059,309686,148029908,4302,2787174,1764.621613,25,225,33306729300,4163341163,520417645.3,23723131.81,6661345860,0.1424524852,1332269172,37957010.9,7591402.18,166533646.5,20816705.81,4744626.363,832668232.5
elasticnet,738,565,4,141,1137,4,2,8,0.0004742214324,118313946,0.9035139084,104058,118313946,9096,832412,49.34653381,8,12,7572092544,1893023136,473255784,897712.1431,3786046272,0.003793771459,946511568,1795424.286,448856.0716,236627892,59156973,448856.0716,946511568
none,105,120,4,1057,1263,6,4,8,0.004817400209,210261082.5,0.4047288895,110985,140174055,10104,887880,534.6591622,24,192,26913418560,6728354640,1682088660,32413177.05,6728354640,0.115617605,1121392440,32413177.05,5402196.175,280348110,70087027.5,8103294.262,1682088660
l1,291,266,8,1283,1159,4,4,11,0.0905837804,216358063.5,2.810808659,373353,432712127,12749,4106883,33819.72616,12,176,57118528764,7139816096,892477011.9,646751533.3,19039509588,1.087005365,4759877397,1724670755,431167688.9,594984674.6,74373084.33,215583844.4,2379938699
elasticnet,674,1000,8,1220,729,6,2,6,0.003299097287,449581590,4.412492514,822280,599442120,4374,4933680,2712.781717,12,72,43159832640,5394979080,674372385,17798560.85,21579916320,0.03958916744,3596652720,71194243.38,11865707.23,449581590,56197698.75,8899280.423,2697489540
l2,277,955,8,619,280,5,2,7,0.04505320202,30006025,0.2041153908,171463,48009120,1960,1200241,7724.957178,10,70,3360674800,420084350,52510543.75,18926145.09,1680337400,0.4505320202,336067480,75704580.34,15140916.07,42008435,5251054.375,9463072.543,210042175
elasticnet,348,990,4,1150,300,4,5,8,0.09305782417,120060000,1.404977798,400200,120060000,2400,3201200,37241.74123,20,120,19209600000,4802400000,1200600000,446900894.8,3841920000,1.861156483,960480000,357520715.8,89380178.96,240120000,60030000,89380178.96,960480000
l1,483,211,12,1299,130,6,3,9,0.01547126171,40782105,1.110111237,627417,81512210,1170,5126753,9706.932608,18,122,13213402020,1101116835,91759736.25,17035666.73,4404467340,0.2784827108,734077890,68142666.91,11357111.15,61173157.5,5097763.125,5678555.576,367038945
none,392,170,4,1192,1195,8,5,8,0.06960539542,1116760960,1.709271269,467212,558380480,9560,3738112,32520.476,40,320,178661868800,44665467200,11166366800,3108957506,35732373760,2.784215817,4466546720,2487166005,310895750.6,1116636680,279159170,621791501.2,8933093440
elasticnet,105,230,12,1063,922,10,5,8,0.02183574474,85757525,1.113870144,111215,102909030,7376,892920,2428.462351,50,400,41016092000,3418007667,284833972.2,74634742.93,8203218400,1.091787237,820321840,179123383,17912338.3,68360153.33,5696679.444,14926948.59,683601533.3
