penalty,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_informative,flip_y,scale,time
l1,420,390,4,1058,607,8,7,0.09658465355,539453430.1,3.708951235
none,794,684,2,826,327,3,10,0.06456072318,321692166.1,0.8034977913
elasticnet,639,205,2,418,768,4,8,0.02819696314,410268877,2.906409979
none,735,524,2,1071,889,9,10,0.007839659802,3149134117,5.011070013
none,265,571,8,602,530,3,7,0.01106788112,31707158.51,0.204308033
l1,944,502,2,1396,493,10,11,0.09174469185,3248436662,22.13564038
none,123,525,2,267,509,7,9,0.09063417498,58506766.59,0.1030123234
l1,452,293,16,1194,1028,8,8,0.0667047898,277399925.1,3.616493225
elasticnet,833,375,4,219,1309,5,9,0.02428717821,298496553.8,3.208013535
l2,976,842,8,1217,113,7,11,0.07200079965,117443776.1,0.5041821003
none,913,713,16,329,806,3,7,0.06429757014,45395187.19,0.4080145359
l2,255,264,4,1064,627,7,8,0.04255602498,297706134,0.5038797855
l2,420,434,2,1366,944,5,9,0.05688755102,1353979634,2.107222319
elasticnet,480,139,2,1047,523,6,7,0.04100892484,788516779,6.31253767
elasticnet,335,233,2,952,1379,7,12,0.06935144384,1539267613,12.42343616
elasticnet,757,717,1,910,1059,5,10,0.02857463363,3647567367,25.18621421
none,513,658,16,107,154,10,7,0.08139442325,5283916.831,0.1069338322
l1,769,601,8,1152,233,8,11,0.02286647708,206412505,2.307451248
elasticnet,686,191,4,486,369,5,9,0.0690920094,153779096.1,1.805185318
l1,172,485,1,1284,826,6,7,0.06688177249,1094523173,6.076055527
elasticnet,397,670,2,497,770,2,10,0.07296265398,151928600.1,1.04891777
elasticnet,199,527,8,637,415,3,9,0.005147936701,19728018.88,0.5050563812
l1,735,216,1,1313,686,3,9,0.003371858051,1986083406,10.91638327
elasticnet,939,533,16,280,585,7,10,0.03078456318,67291620.53,1.307864904
l2,526,675,16,476,481,8,12,0.09317310722,60216103.09,0.2075018883
none,727,543,4,1290,1048,7,7,0.01408364839,1719980763,2.608286381
none,686,6,8,1039,431,4,10,0.02025869713,153598493,0.6050031185
none,758,454,8,1234,1252,4,10,0.01930982998,585543326,1.608695269
none,600,778,1,763,1394,2,10,0.01042264164,1276347178,0.7831168175
l1,315,812,2,1157,459,4,9,0.09450055217,334570502.1,2.506043673
l1,839,788,2,239,211,9,7,0.08420323919,190395477.6,1.504099846
none,560,206,1,1351,162,9,11,0.004227882502,1103064686,1.992304325
l1,275,78,8,592,316,5,9,0.008014936131,32153078.01,0.4038617611
none,401,801,1,663,1295,8,11,0.01464718994,2754341481,3.355512619
l2,924,439,4,388,707,3,10,0.08897883598,190101427.1,0.4037935734
l2,370,137,8,517,1263,8,11,0.08232039901,241599407.1,0.4047586918
l2,373,763,4,1273,339,2,8,0.03147428793,80484278.53,0.2962100506
none,764,493,8,664,1073,3,6,0.06992020453,204123721.1,0.7050335407
l2,274,744,2,733,262,4,8,0.09645148455,105241952.1,0.302229166
l1,270,324,1,1296,1264,5,10,0.07304949065,2211494724,12.60606813
l2,212,528,1,545,1099,5,7,0.02701506911,634892828,0.7832143307
l2,251,194,8,555,1121,4,7,0.02335571417,78080646.52,0.3048725128
l1,460,2,16,1126,1155,5,9,0.04794221509,186951189.5,3.617695093
elasticnet,737,958,2,1050,809,8,10,0.08337616794,2504179558,18.02988076
none,797,646,1,819,543,4,8,0.02981575184,1417758442,1.807029486
l1,423,651,1,869,311,4,6,0.03907671087,457278879,2.675535679
l2,689,724,1,469,980,3,8,0.02263022393,950035264,1.169397116
l2,817,636,16,977,281,5,9,0.05018180205,70093363.86,0.5089981556
elasticnet,803,484,4,727,695,9,10,0.02791360039,912888022.8,8.816298008
elasticnet,765,588,2,716,1326,2,7,0.02515933612,726303828,4.876769543
elasticnet,247,245,4,229,947,9,9,0.05751333247,120521857.3,1.204249382
l1,870,996,1,679,291,10,9,0.05332177782,1719025296,10.1505723
none,303,991,2,316,604,3,10,0.04378710609,86748679.04,0.2027390003
elasticnet,723,528,16,622,655,2,10,0.01071819801,36820206.76,2.045994282
none,443,747,16,366,1020,3,7,0.01683786209,31009639.52,0.3084378242
elasticnet,749,842,4,1336,696,2,7,0.06903141453,348231914.1,3.989420652
elasticnet,816,481,2,178,187,10,11,0.06059616708,135807361.1,1.104005098
none,519,737,16,956,586,9,11,0.06194852529,163548795.6,0.6093137264
none,696,75,8,1261,877,3,9,0.08173094708,288639192.1,1.106198549
l1,453,553,4,599,732,4,9,0.06083508609,198626557.1,1.304980755
l2,277,622,8,1118,478,5,9,0.005698099408,92519314.51,0.3040142059
elasticnet,738,565,4,141,1137,4,8,0.0004742214324,118314511,0.9035139084
none,105,120,4,1057,1263,6,8,0.004817400209,210261202.5,0.4047288895
l1,291,266,8,1283,1159,4,11,0.0905837804,216358329.6,2.810808659
elasticnet,674,1000,8,1220,729,6,6,0.003299097287,449582590,4.412492514
l2,277,955,8,619,280,5,7,0.04505320202,30006980.05,0.2041153908
elasticnet,348,990,4,1150,300,4,8,0.09305782417,120060990.1,1.404977798
l1,483,211,16,1299,130,6,9,0.01547646171,30586789.77,1.110111237
none,392,170,4,1192,1195,8,8,0.06960539542,1116761130,1.709271669
elasticnet,105,230,16,1063,922,10,8,0.02183574474,64318373.77,1.113870144
l2,832,973,16,948,1299,8,9,0.01238835458,512285005,1.511168242
l2,982,214,4,581,605,6,10,0.03122313368,517767079,0.9041521549
l2,875,752,8,784,650,5,9,0.03379542192,278688252,0.7048082352
l2,322,533,16,1182,310,8,8,0.04645090476,58994153.05,0.307986021
none,254,798,16,641,952,6,11,0.008695687813,58125396.01,0.3062272072
l2,555,631,16,1285,1227,8,8,0.008037584764,437533493.5,1.310632706
l2,462,179,4,328,1039,7,8,0.02578383368,275530511,0.4036018848
none,794,196,4,972,516,3,7,0.09320505311,298674412.1,0.6036806107
l2,478,675,4,252,483,2,8,0.002610211867,29090799,0.07534170151
none,316,728,4,707,300,2,8,0.009515852079,33512528.01,0.09172463417
l1,638,695,4,444,149,5,8,0.01349328049,52760105.01,0.6031577587
elasticnet,493,629,4,1105,637,2,6,0.01573766317,173508281.5,2.221226215
elasticnet,895,157,8,752,1080,4,10,0.0479416736,363441757,5.613289118
none,902,9,8,1194,480,7,8,0.05157171248,452334969.1,1.105895042
elasticnet,224,697,8,1330,589,4,10,0.07248992827,87738137.07,1.507113457
none,820,155,4,1274,1318,7,10,0.03861711631,2409554575,3.912236452
elasticnet,500,505,16,1339,1047,7,11,0.07623611208,306673348.8,5.622286558
l1,113,7,2,624,816,9,11,0.01325872357,258920071,1.705229282
elasticnet,112,664,4,1047,179,5,9,0.02041296464,26238484.02,0.4028890133
l1,444,539,8,719,118,10,12,0.09192012128,47087849.09,0.9043483734
l2,907,868,4,1321,1026,3,5,0.01777848686,921974984.5,1.707449436
elasticnet,510,999,16,281,343,4,8,0.05931024312,12289831.56,0.5090444088
elasticnet,442,119,16,578,1035,7,9,0.05684392227,115682845.3,2.212547541
elasticnet,957,532,1,1395,802,3,7,0.00230165056,3212046622,22.32152057
elasticnet,122,792,4,497,1030,4,9,0.05877720505,62453812.06,0.504525423
none,119,202,4,433,863,9,11,0.09626130119,100052754.3,0.2027921677
l1,719,538,4,444,838,10,9,0.01904384753,668799958,4.810433149
l2,522,539,2,1275,883,4,7,0.01151289123,1175361839,1.505801439
l1,452,55,4,256,1095,6,7,0.04286543098,190057015,1.505218983
l2,451,12,8,1231,262,6,10,0.03402123505,109093078.5,0.4049165249
elasticnet,334,368,4,873,1024,8,8,0.07323641426,597160304.1,4.510543346
l2,350,42,1,936,1397,5,8,0.07427856903,2288286042,2.897520304
l1,711,892,8,267,142,2,9,0.08400974351,6740105.584,0.1527986526
elasticnet,592,769,1,191,805,8,7,0.02997324597,728184449,5.008789539
elasticnet,707,127,8,1074,508,8,7,0.07910161127,385733671.1,3.209592342
elasticnet,600,381,4,1284,830,3,7,0.09583045881,479574381.1,4.411065578
l2,552,180,16,1172,756,2,8,0.04739655022,61136388.05,0.6213223934
elasticnet,934,582,16,703,1190,2,8,0.01263568529,97670129.51,5.368126392
elasticnet,701,0,16,881,997,9,8,0.02310597929,346347144.6,4.818053484
l1,464,924,1,1378,223,6,8,0.03714907049,855507420,6.450396299
l1,446,13,8,837,414,3,6,0.01244465512,57955148.51,1.105915785
l2,431,19,4,1256,761,2,7,0.09004000506,205978367.1,0.528844595
l1,190,192,4,194,1037,3,7,0.06906086446,28668057.07,0.3029060364
none,761,671,1,1021,1362,9,11,0.0979467202,9524233769,11.71516609
l1,902,99,1,107,1384,8,8,0.01568210809,1068603107,5.963968277
none,286,740,4,321,861,10,9,0.09148767336,197613155.1,0.3030841351
none,434,745,16,1351,1020,3,9,0.01196624877,112137122.5,0.8112385273
l2,511,919,16,742,146,8,11,0.01452412607,27679745.01,0.2075846195
elasticnet,326,600,1,128,572,5,10,0.05486076774,119342680.1,0.835600853
elasticnet,664,397,16,476,548,6,11,0.04373877718,64951549.04,1.51012969
l2,953,74,2,385,545,8,10,0.0678676716,799852974.1,1.203916073
none,221,628,16,536,655,10,9,0.01935415113,48493553.02,0.2071692944
none,476,641,16,1311,1123,6,9,0.09946763079,262797801.6,0.9102890491
l1,952,819,1,717,814,6,8,0.08351570908,3333741075,18.20137239
l2,454,778,2,999,458,7,10,0.08219949361,727035016.1,1.305962324
none,778,282,4,553,1333,7,8,0.03455904927,1003628646,1.405981779
l1,143,554,8,141,1226,2,8,0.05774673446,6180513.558,0.1393473148
none,958,646,1,194,181,3,7,0.07428620606,100918282.1,0.1424884796
elasticnet,640,964,4,485,857,4,10,0.08763354763,266013764.1,2.00579977
l1,352,558,2,1197,675,9,7,0.06407359069,1279832958,8.816213369
none,204,98,16,166,803,6,7,0.005976656557,10197395.01,0.1082818508
none,943,838,2,343,1195,8,9,0.01857409111,1546087058,1.905147552
l1,880,789,8,639,1191,9,11,0.09240495579,753439299.1,7.415954828
l1,898,874,4,338,1064,6,10,0.0686922844,484425178.1,3.808150768
none,900,878,4,184,1076,5,9,0.0238492302,222732878,0.5030546188
elasticnet,727,881,16,663,900,10,9,0.04199537067,271126443.5,3.618200064
l1,948,732,1,271,1063,4,8,0.05031378138,1092373548,5.927548409
elasticnet,878,447,1,160,227,10,9,0.02178879091,318890047,2.075516701
none,726,559,1,1048,357,10,8,0.07611581093,2716227919,4.705183268
l2,732,871,1,299,1081,7,8,0.05165195744,1656175027,2.02889967
elasticnet,911,612,2,760,724,10,11,0.03339080104,2506343812,16.92639995
l2,780,810,4,1142,1079,10,11,0.02069349332,2402825910,3.70978117
none,761,303,2,145,1318,4,9,0.04521332895,290869723,0.4027199745
l1,202,873,8,867,999,6,7,0.07497882989,131220022.6,1.20643568
l1,420,883,1,886,1213,5,9,0.09976021843,2256908683,12.56846571
elasticnet,715,91,1,1107,757,8,10,0.07566912216,4793354371,33.45044708
elasticnet,414,872,2,1017,872,7,8,0.07886476703,1285008848,10.51932883
elasticnet,147,299,4,543,1039,10,12,0.05750018808,207335346.6,1.90612936
elasticnet,389,574,4,906,147,7,11,0.07737352386,90664220.58,1.304673672
none,159,556,4,999,1000,7,8,0.003856736606,277972306,0.5043346882
l1,998,418,16,831,193,10,8,0.05086389583,100039314.3,1.812030792
l2,930,899,2,700,1152,8,11,0.03927303773,2999808899,3.70854187
elasticnet,875,177,16,802,676,8,10,0.09958620793,237191677.1,3.61275959
elasticnet,856,573,2,1029,306,8,7,0.01551641163,1078129149,9.815907955
elasticnet,427,128,4,913,572,6,10,0.03867852944,334492286,3.409080029
l1,782,26,16,308,1192,3,6,0.01362002835,53831342.01,1.711677551
l1,105,374,2,1058,549,7,7,0.008472213628,213459809,1.504757404
l2,907,329,4,164,779,7,7,0.02050217832,202781040,0.3030436039
none,374,640,2,750,504,7,10,0.0784793872,494802640.1,0.9034280777
elasticnet,692,120,4,144,1206,5,8,0.09437394007,150219480.1,1.806587458
l1,228,140,4,395,931,5,7,0.04606709141,104807465,1.006319046
none,876,414,2,776,717,9,10,0.02150673988,2193297678,3.207613707
l2,824,320,8,676,1199,6,8,0.0956890237,500904152.1,1.006120682
l1,998,198,1,1358,323,2,8,0.07102989779,875513662.1,3.660505295
none,670,939,1,559,178,7,8,0.07360812446,466665319.1,0.7782354355
elasticnet,435,286,8,769,347,9,12,0.06691261212,130586579.2,1.907328844
none,781,974,1,703,1130,3,8,0.004793702028,1861256744,2.277281046
elasticnet,788,264,8,965,804,2,7,0.01079636811,152844684,4.23216176
none,300,245,8,206,1341,7,8,0.03264228236,72514820.03,0.2058713436
none,761,828,16,1198,587,10,9,0.0205671277,334472694.3,1.210453749
elasticnet,489,22,8,1026,252,3,8,0.07544834849,47411995.08,1.506068945
l1,728,309,8,384,715,4,10,0.02950599753,99940149.03,1.305463314
elasticnet,884,330,16,179,1382,3,10,0.06683094709,41003233.57,1.708337545
l2,301,970,8,984,1299,6,8,0.03460422462,288558232,0.6061618328
none,536,966,4,1077,714,7,10,0.07479540451,721302330.1,1.105164289
l2,436,901,8,1253,899,5,11,0.04394720138,306957708.5,0.7074253559
none,836,843,16,124,1364,2,7,0.02464638648,17675555.02,0.1737434864
l2,441,590,8,659,892,7,10,0.02344259357,226828719.5,0.4045164585
none,454,0,8,435,1088,6,10,0.08176526589,161151840.1,0.3041980267
none,580,440,16,1123,1304,5,9,0.09853672927,265421490.1,1.21194458
l1,486,881,8,872,459,5,9,0.02726998596,121576211,1.406636715
l1,976,890,1,877,1239,7,8,0.0816200198,7423672586,41.09996915
l1,790,634,4,1231,1119,5,8,0.08610066035,1360271022,12.1244545
l1,994,826,4,129,410,10,9,0.009375232873,131432476,1.003689766
elasticnet,907,766,8,964,385,10,11,0.01085568403,420780741,5.414001942
none,131,75,16,546,909,9,8,0.05768657484,36572212.93,0.206392765
elasticnet,269,549,2,1172,505,2,9,0.001706834611,159210889,1.09419179
l1,125,866,8,643,1099,10,9,0.06992101848,110416022.3,1.106264591
l1,162,58,2,1250,765,6,9,0.08967714035,464737558.1,3.009803057
l2,929,902,1,1377,758,8,9,0.006255720751,7757269814,9.905338764
l2,960,413,8,1192,878,8,7,0.01478146598,1004713373,1.708986759
elasticnet,844,441,2,1015,1108,9,9,0.08206703007,4271307201,29.54931641
l1,175,180,16,912,1339,3,9,0.02624161928,40069755.03,1.310240984
none,475,452,1,513,442,9,12,0.01118796084,969339602,1.284116983
none,753,803,1,309,1192,4,8,0.09065256464,1109404739,1.353678703
elasticnet,214,646,2,1045,1332,5,6,0.0247546344,744688546,6.013674259
l2,533,293,8,647,1131,4,6,0.05992758697,195013533.6,0.6070518494
l1,554,985,16,187,440,6,7,0.004922048076,17094655,0.3080265522
elasticnet,634,192,1,594,383,10,8,0.0645900655,1442362872,10.08669853
elasticnet,685,470,4,746,675,8,10,0.08226100529,689863970.1,5.210977554
elasticnet,260,580,1,1215,1380,8,11,0.07287169136,3487536580,24.6611886
l2,156,580,8,100,1260,9,8,0.08913541076,22113580.09,0.1048262119
l1,340,21,8,815,1164,8,11,0.03844488109,322544421,2.207571745
l2,639,295,8,335,621,3,5,0.09986641339,49850681.97,0.2042472363
none,901,547,2,1030,373,2,8,0.04892275343,346155737,0.5062339306
elasticnet,428,470,2,774,1254,7,8,0.04268408833,1453953278,11.62030196
none,876,139,2,975,608,3,9,0.01632950296,778939339,1.605274916
none,997,345,4,1124,629,7,8,0.01250492863,1233531616,1.906177521
elasticnet,916,338,2,925,387,9,10,0.09620469598,1475573288,12.82156205
none,414,809,1,921,1317,9,9,0.01941309016,4519478591,5.694205761
l2,672,910,4,584,1269,9,9,0.0866683779,1120538062,1.906991959
elasticnet,524,638,4,477,959,5,8,0.06684093753,299625803.1,3.208259344
elasticnet,177,283,2,325,1076,6,7,0.06326520936,185690983.1,1.404492617
l1,289,156,16,1116,618,8,12,0.08689763908,99660072.09,1.612622499
none,826,12,4,170,989,5,7,0.02526753281,173594237,0.4030997753
l1,269,491,2,225,1031,10,7,0.03212877654,312006866,1.904563665
l1,402,769,1,227,1065,5,8,0.06099127073,485928319.1,2.670580387
elasticnet,285,606,2,954,1054,7,10,0.09507271735,1003002816,8.015925884
none,221,52,16,917,1086,9,9,0.07455569604,123798146.9,0.5120449066
elasticnet,797,247,1,1150,1118,2,10,0.09493341261,2049406047,6.408285141
elasticnet,581,901,8,1282,1216,7,9,0.01093738992,792512789,6.920648098
elasticnet,944,130,4,482,296,5,9,0.08217605012,168353090.1,2.007487535
elasticnet,790,10,16,650,1002,5,7,0.02120710267,160789697.5,3.71450758
none,434,439,8,691,532,8,10,0.02994170959,159544047,0.3045535088
l1,312,708,2,1280,737,5,7,0.05111494581,735821508.1,5.111081123
l1,386,29,4,1223,642,2,7,0.0648246146,151537067.1,1.707395077
l2,857,511,4,1290,1002,7,7,0.01840725772,1938547366,2.910791397
elasticnet,497,394,4,575,1328,8,10,0.05868900388,759018794.1,5.612550735
l1,995,909,16,270,1327,2,8,0.05859214739,44563227.81,1.977850437
none,868,106,4,633,216,3,7,0.09734830952,89010034.1,0.3043069839
none,787,323,1,679,182,3,8,0.09596198096,291767981.1,0.5520660877
l2,450,434,2,1269,343,5,9,0.07315888702,489675809.1,1.1040411
l2,496,541,1,442,334,10,9,0.0008492288218,732235421,0.9839806557
l1,686,405,16,186,1237,5,7,0.09354973306,49324233.84,1.010829449
l1,371,12,8,1287,152,7,8,0.04748671776,63504453.05,1.004575014
l2,980,872,2,1050,421,2,7,0.00952300706,433209872,0.7244291306
none,350,426,1,410,1282,6,6,0.08628058267,1103802426,1.34764719
none,571,705,1,1058,755,6,11,0.0637308147,2736655245,3.440226078
l2,642,103,1,132,1095,2,7,0.03414096081,185589463,0.1153175831
none,865,667,2,463,1206,4,8,0.01173296944,965994607,1.204750776
elasticnet,456,205,16,792,1252,7,10,0.0194062999,197821213,3.41549921
elasticnet,506,484,1,1038,384,6,8,0.005484921931,1210125796,9.347616434
l2,331,207,2,1040,837,9,8,0.08327700372,1296580167,1.906282663
elasticnet,382,626,8,857,613,3,5,0.07119610729,75255724.32,1.606556654
none,990,818,16,223,281,9,10,0.0596268192,34896276.18,0.2055430412
l2,994,67,4,1221,867,3,8,0.06898387522,789191585.6,1.4059484
none,857,400,2,720,877,8,7,0.09447414193,2164576720,2.706568718
elasticnet,502,444,4,642,536,7,11,0.003050410683,302302836,2.806747913
l2,161,165,1,724,1252,6,10,0.04899713688,875628933,1.078270912
l2,653,458,8,476,561,8,12,0.04659306469,174374966,0.4034078121
none,309,834,2,908,922,5,9,0.01899685118,646719294,1.0041821
elasticnet,995,351,8,1081,203,10,12,0.07519728055,272932582.3,4.710926771
elasticnet,830,655,8,301,713,10,12,0.01263264695,222661642.5,2.70764184
none,109,566,1,154,1315,9,9,0.002778153643,198662876,0.246696949
l2,414,961,4,1394,770,9,10,0.05843562809,999854431.1,1.806378603
l1,812,952,4,708,1112,7,11,0.07226587919,1118748568,7.816357374
elasticnet,167,519,1,1389,625,6,9,0.01175120871,869861769,6.375456095
l2,357,297,8,902,949,7,10,0.05810736804,267392672.3,0.604763031
elasticnet,610,409,16,1001,157,3,7,0.03833331415,17975240.91,1.309899569
elasticnet,656,974,8,627,1157,6,8,0.06068622787,356916962.1,3.710609198
l2,422,937,16,553,599,9,9,0.006985513028,78630693.63,0.3091492653
l1,121,139,16,940,1326,8,9,0.09947626894,75409759.1,1.111268044
elasticnet,454,532,4,589,439,6,8,0.08653268779,176087383.1,1.906095505
none,341,716,16,1078,347,3,6,0.01921953972,23917560.89,0.3091905117
l1,757,197,16,1372,796,2,7,0.0715796554,103341295.1,4.497043848
elasticnet,835,235,1,1143,759,3,9,0.06058234414,2173180420,15.09924126
none,217,6,16,641,1030,4,7,0.08338068697,35817483.58,0.2102820873
elasticnet,551,995,8,1279,1042,10,11,0.001405434761,917910517.5,10.72367287
l1,711,396,1,680,230,5,9,0.002277423418,556002396,3.339199543
l2,440,458,2,567,1110,7,8,0.0818391652,969230258.1,1.405166388
elasticnet,201,319,2,1079,355,8,9,0.02946286298,307968499,2.706287146
l2,750,813,1,754,1175,2,5,0.02941520094,1328925813,0.8141829967
elasticnet,258,227,8,937,804,2,10,0.003661909594,48591173,1.319390059
l1,892,700,16,738,1096,7,9,0.03622265045,315653632,4.615325689
l2,641,668,4,974,383,6,10,0.04238371519,358680551,0.8038468361
none,344,386,4,553,451,9,9,0.00359734097,193038308,0.402998209
elasticnet,842,277,8,1282,1168,4,9,0.04089889326,630395573,9.021778107
none,683,171,16,281,131,8,9,0.05754966402,12571127.56,0.1091105938
none,359,77,16,704,984,6,8,0.00155771173,93259661,0.4078118801
l1,681,334,2,374,206,3,7,0.02733149476,78700780.03,0.7026870251
l2,551,526,2,388,583,2,7,4.66E-05,1.25E+08,0.1578426361
none,672,484,1,406,257,5,10,0.02696017955,350589604,0.480047226
l2,160,662,4,408,1124,7,8,0.001384157304,128406422,0.2037479877
elasticnet,702,958,4,839,675,4,9,0.06999766892,397561108.1,2.90717268
l1,751,121,4,1158,277,7,9,0.07797965759,421566836.6,3.808417559
none,240,861,16,805,778,4,8,0.08969990689,37578261.09,0.2071299553
elasticnet,252,201,1,660,1154,6,9,0.07308287131,1151599881,7.969527245
l1,815,456,1,720,1296,7,7,0.02056639355,5323450056,29.96365619
l2,976,651,16,426,612,9,7,0.06213014903,143131539.1,0.5096817017
l1,980,456,4,282,1382,7,10,0.02400301676,668377116,4.509458303
l2,920,580,8,430,474,5,6,0.03787266902,117197080,0.3040196896
l1,260,438,4,472,1179,2,7,0.05377571862,72343878.05,0.8039419651
l2,105,791,8,259,256,3,9,0.05774604983,2611511.058,0.1034202576
elasticnet,440,100,16,1253,1162,10,9,0.01178775367,400396250,5.124667406
none,304,277,16,1101,183,3,8,0.07795426034,11484808.08,0.2073254585
none,140,307,4,898,113,3,5,0.01008186895,10655077.01,0.1024477482
l2,531,153,2,1061,155,2,6,0.002331292243,87325758,0.1717767715
l1,184,805,4,237,597,7,11,0.07040848485,45560263.07,0.4027197361
none,446,208,2,271,1022,3,8,0.07027934587,185287786.1,0.4024715424
l1,117,225,16,392,126,3,10,0.02500639137,1083762.025,0.1071269512
elasticnet,429,32,4,594,998,2,6,0.08310802932,127158206.1,1.758459806
elasticnet,142,17,16,173,110,8,7,0.09344655239,1351147.093,0.1092402935
l1,751,984,2,397,936,3,8,0.01494099422,418599372,3.207522869
l1,942,676,2,1325,1302,8,11,0.07236516194,6500365876,38.47280598
l2,357,728,4,158,1342,6,11,0.08697389095,113546006.1,0.2031795979
l2,938,875,1,293,397,4,11,0.009693049738,436437267,0.5697216988
none,939,339,8,1010,818,9,11,0.0774620316,872756236.6,2.008093119
elasticnet,384,691,1,770,650,6,7,0.09586295259,1153152691,8.024935484
elasticnet,249,733,16,549,1297,7,8,0.06320250629,77570006.75,1.410487652
l2,115,269,1,568,808,6,8,0.01367474171,316671629,0.4006454945
none,149,137,2,852,172,4,9,0.005317384157,43670249.01,0.2021479607
l1,130,318,1,1255,296,3,10,0.09444688259,144877518.1,0.9047751427
none,442,649,1,480,816,5,9,0.01968167795,865613449,1.074191093
elasticnet,736,499,8,1343,313,10,9,0.09064271007,386730779.1,5.612504005
l1,994,219,16,1185,1016,6,9,0.0134813687,448776309,7.623729944
l1,919,779,2,191,225,3,8,0.01689443426,59241816.52,0.5031282902
l1,156,992,16,650,1026,7,8,0.004895977998,45516917,0.7105212212
l1,947,356,2,868,544,10,10,0.06505927103,2235829476,14.72393608
elasticnet,422,210,4,658,1100,10,9,0.05156818228,763609210.1,6.814491987
l1,473,741,2,335,685,4,9,0.02154568051,217084091,1.404172659
l1,304,903,1,638,171,4,9,0.009661836769,132664071,1.10080719
elasticnet,966,645,16,356,848,5,7,0.026063837,91133085.03,2.311634064
none,755,902,16,1320,1318,4,6,0.03149310749,328380602,1.713663578
elasticnet,354,736,4,862,814,9,12,0.03617376045,558879298,5.311689138
elasticnet,222,531,1,808,1309,4,10,0.09046913778,939213267.1,6.488284349
elasticnet,306,696,8,615,397,9,9,0.01729949084,84051054.77,1.105173588
l1,637,142,16,972,1203,2,8,0.04419821924,93106928.54,4.20106864
l2,689,9,1,1178,345,2,7,0.06315376877,560032989.1,0.5060389042
l1,296,23,4,1161,1328,3,9,0.0586191441,342281399.1,2.810519934
l2,829,311,2,624,435,2,6,0.08785592487,225024071.1,0.2921378613
none,296,751,1,1063,1129,8,11,0.05029471995,2841901487,3.606372356
none,925,364,4,762,365,7,9,0.0414880951,450223301.5,0.9039442539
l2,419,538,8,454,852,7,10,0.0351486114,141814021,0.3039915562
l1,696,319,1,255,411,4,10,0.02583997125,291777439,1.617977858
l2,612,713,16,330,284,9,9,0.07505295573,32263823.08,0.2082509995
none,729,491,2,937,152,3,10,0.08440456321,155741135.1,0.5024421215
elasticnet,570,132,4,547,946,2,9,0.02885208829,147476802,2.042329788
l2,143,348,8,1397,207,5,10,0.03702253878,25845721.16,0.2051949501
l1,925,326,2,1074,537,4,9,0.04389121943,1066965626,7.413642168
elasticnet,625,304,2,642,510,5,9,0.07461348796,511594054.1,4.509355545
elasticnet,165,860,4,1249,1147,9,10,0.09402867194,531854723.8,5.113521099
l1,696,341,2,638,414,8,8,0.04301991709,735343829,4.909555435
